,Kinetic Energy (GeV),Thickness (cm),Upstream Energy Mean (GeV),Downstream Energy Mean (GeV),Upstream Energy Std,Downstream Energt Std,Ratio
24,0.13,1.0,0.13012349004100285,0.12309564927434952,0.0005162280592034426,0.0006216795487515396,0.994997027543401
25,0.13,2.0,0.13012364729198192,0.1157658550922835,0.0005164342127406185,0.0007214046928966943,0.986424781886597
26,0.13,3.0,0.1301235218043203,0.10807915460536152,0.0005164597635920973,0.0008201457953736957,0.9753138719176034
27,0.13,5.0,0.13012331691581544,0.0913219507093337,0.0005162696550086901,0.001045074873116578,0.9458242602722136
28,0.14,1.0,0.14012357153899674,0.1334728961631392,0.0005560228880837205,0.0006527987363758455,0.9945723956269455
29,0.14,2.0,0.14012354795320026,0.12657724665264114,0.0005559913343185644,0.0007466169014242843,0.9860896524565917
30,0.14,3.0,0.1401233876699433,0.11939945483158672,0.0005559146171862172,0.0008391985170130205,0.9753132102929679
31,0.14,5.0,0.1401233866291645,0.10399641594603079,0.0005558139141174034,0.0010388020396807406,0.9478982726654407
32,0.15000000000000002,1.0,0.15012343500059047,0.1437980404480338,0.00059581998857105,0.0006864864642589896,0.9940996203788632
33,0.15000000000000002,2.0,0.15012371349641354,0.13727247062601836,0.0005958015405100244,0.0007740671633325047,0.9856194683422047
34,0.15000000000000002,3.0,0.15012350916601994,0.13051874256925966,0.000595589713244201,0.0008593882419445369,0.9751077303051757
35,0.15000000000000002,5.0,0.1501234991136891,0.11618777419548167,0.0005955829249722883,0.0010423351066366267,0.9491045703941299
36,0.16,1.0,0.1601235696294218,0.1540833391987923,0.0006355735331085577,0.0007199190932957272,0.9936869353109247
37,0.16,2.0,0.16012365876237622,0.14787544057800034,0.0006356720812174977,0.0008033647317753136,0.9852134718126632
38,0.16,3.0,0.16012344678009205,0.14148013198693032,0.0006355189432260168,0.0008843358923364916,0.9750735712537767
39,0.16,5.0,0.16012340213641818,0.12802896824322155,0.0006354794524369896,0.0010532180238212205,0.9499116641311137
40,0.17,1.0,0.17012361909725188,0.16433498704225694,0.0006751750832602686,0.000754033652259439,0.993333689848724
41,0.17,2.0,0.17012334620405858,0.15840387450570306,0.0006752831296546474,0.0008330233887967366,0.984747443385559
42,0.17,3.0,0.17012357687584995,0.15231692895367568,0.000675269713543859,0.0009093016739189589,0.9748300204312896
43,0.17,5.0,0.17012357232787112,0.13960056027313358,0.0006753823368220888,0.0010670546373666061,0.9504671831889446
44,0.18,1.0,0.18012372690987358,0.17455850506177006,0.0007151360998204639,0.0007889617721452245,0.993010739340298
45,0.18,2.0,0.1801237038101,0.16887211295363608,0.0007150243414860444,0.0008638770476881623,0.9843377377332029
46,0.18,3.0,0.18012360237697592,0.1630526965890572,0.0007149609795318074,0.0009366085616536719,0.974399340261433
47,0.18,5.0,0.18012357001455534,0.15096328099118678,0.0007149738389007333,0.0010843191430999946,0.9506749513203238
48,0.19,1.0,0.1901236006913177,0.1847582658335194,0.0007546699328258017,0.0008244181865901491,0.9926919207035626
49,0.19,2.0,0.1901235288778872,0.17928845509805907,0.0007547810195599403,0.0008958098778311781,0.9839537130922904
50,0.19,3.0,0.19012379357983783,0.1737050785704809,0.0007547082675509322,0.0009646011594081107,0.9739431072337262
51,0.19,5.0,0.19012335233984834,0.16215628180463246,0.0007547041932609891,0.0011055829540904695,0.9509880075846677
52,0.2,1.0,0.20012379795315302,0.1949386556375876,0.0007944083620954577,0.0008583485790881211,0.9924125097214697
53,0.2,2.0,0.2001238087043234,0.18966235216902932,0.0007944087296392093,0.0009266336684800888,0.9834869965464372
54,0.2,3.0,0.20012361361972997,0.18428802886086337,0.0007945959231610893,0.0009934289299553887,0.9735818243536623
55,0.2,5.0,0.20012364351109013,0.17321302898715352,0.0007944752294235019,0.001126810417162613,0.9508942141835394
56,0.21000000000000002,1.0,0.21012370689127682,0.20510144895210836,0.0008340966286410686,0.0008933957404410648,0.9921504846799091
57,0.21000000000000002,2.0,0.2101236845933985,0.19999920896705203,0.0008341335128333774,0.0009589513387431889,0.9831303462772817
58,0.21000000000000002,3.0,0.2101235812552698,0.1948123228205197,0.0008340960013296328,0.0010217683611539565,0.973172354118248
59,0.21000000000000002,5.0,0.21012363054053154,0.1841550341368188,0.0008342377056732892,0.0011492402721090002,0.9506794398979936
60,0.22,1.0,0.22012373738174687,0.21524957275139686,0.0008738123929626855,0.0009307086639827271,0.9918928293848466
61,0.22,2.0,0.22012351841484104,0.21030511893802614,0.0008738097978174956,0.0009915361637931445,0.9828069273427017
62,0.22,3.0,0.2201238204343673,0.20528608671916332,0.0008735791389668622,0.0010510140312084124,0.9728404952763692
63,0.22,5.0,0.22012393117030646,0.19500163809170107,0.0008738642077497894,0.0011732797315262289,0.95052561876727
64,0.23,1.0,0.23012343459959902,0.22538452571753434,0.0009134934122504331,0.0009660874202247428,0.9916751952862684
65,0.23,2.0,0.23012353521407594,0.22058366987565364,0.0009135246816615396,0.0010248308744320786,0.9824101724644689
66,0.23,3.0,0.23012379598049693,0.21571605516253775,0.0009133576981157328,0.001083696364194523,0.9724068828998633
67,0.23,5.0,0.2301241091768252,0.20576606761236474,0.0009135468150565438,0.0012006683400448324,0.9501746318225806
68,0.24000000000000002,1.0,0.24012328761428256,0.2355085365629393,0.0009531974835052724,0.0010019039917469092,0.9914417102246069
69,0.24000000000000002,2.0,0.2401236087922231,0.23083854485632188,0.0009532878171185923,0.0010581679135092444,0.9820811360850006
70,0.24000000000000002,3.0,0.24012415289087088,0.22610954894479834,0.0009534185850410212,0.001113451039260237,0.9719451868222745
71,0.24000000000000002,5.0,0.2401237816914435,0.21645964911906926,0.0009533381985860483,0.001226410238834727,0.9498337205489259
72,0.25,1.0,0.25012395864705284,0.2456233067715281,0.0009929367420027828,0.001037782602007479,0.9912451562486009
73,0.25,2.0,0.2501238815222021,0.2410718041304591,0.000993062371920174,0.0010933119571191485,0.9823959905466817
74,0.25,3.0,0.25012355210550324,0.23646937080257674,0.0009932142428041308,0.0011467446652752083,0.9715635273169461
75,0.25,5.0,0.25012361296725355,0.2270921196846733,0.0009933842983137875,0.001255187793988192,0.9494055399476503
