# DetPlast
#x y z Px Py Pz t PDGid EventID TrackID ParentID Weight Edep VisibleEdep Ntracks
0.280041 0.315195 -0.5 0 0 639 12.468 2212 58 1 0 1 0.398542 0.386313 1 
-0.744619 -0.337834 -0.5 0 0 639 12.468 2212 59 1 0 1 0.414968 0.401726 1 
0.362747 0.197475 -0.5 0 0 639 12.468 2212 60 1 0 1 0.455203 0.439319 1 
0.373081 0.344608 -0.5 0 0 639 12.468 2212 61 1 0 1 0.816361 0.766649 1 
0.219678 -0.31569 -0.5 0 0 639 12.468 2212 62 1 0 1 0.409 0.396131 1 
0.516967 -0.318552 -0.5 0 0 639 12.468 2212 63 1 0 1 0.397225 0.385075 1 
-0.875623 -0.431925 -0.5 0 0 639 12.468 2212 64 1 0 1 0.41396 0.400782 1 
-0.50568 -1.14466 -0.5 0 0 639 12.468 2212 65 1 0 1 0.378263 0.36723 1 
0.387957 0.266335 -0.5 0 0 639 12.468 2212 66 1 0 1 0.40057 0.388218 1 
-0.724579 -0.533379 -0.5 0 0 639 12.468 2212 67 1 0 1 0.406688 0.393962 1 
-0.291534 -0.0923426 -0.5 0 0 639 12.468 2212 68 1 0 1 0.889805 0.831068 1 
-0.373211 0.126492 -0.5 0 0 639 12.468 2212 69 1 0 1 0.356862 0.347026 1 
-0.179472 -0.0653601 -0.5 0 0 639 12.468 2212 70 1 0 1 0.489499 0.471179 1 
-1.0985 0.232294 -0.5 0 0 639 12.468 2212 71 1 0 1 0.52816 0.506895 1 
0.603548 -0.128327 -0.5 0 0 639 12.468 2212 72 1 0 1 0.403834 0.391283 1 
-0.366135 -0.355007 -0.5 0 0 639 12.468 2212 73 1 0 1 0.494345 0.475668 1 
0.451708 0.788314 -0.5 0 0 639 12.468 2212 74 1 0 1 0.358147 0.348241 1 
-0.250594 -0.782638 -0.5 0 0 639 12.468 2212 75 1 0 1 0.604614 0.576909 1 
0.117817 -0.227719 -0.5 0 0 639 12.468 2212 76 1 0 1 0.861075 0.805952 1 
0.0736359 -0.264238 -0.5 0 0 639 12.468 2212 77 1 0 1 0.375079 0.364228 1 
0.474041 0.544088 -0.5 0 0 639 12.468 2212 78 1 0 1 0.424773 0.410909 1 
